Data;Histórico;Tipo do Histórico;Receita;Despesa;Tipo de Conta
01/01/2022;CANTINA ;CANTINA;463;0;RECEITA
01/01/2022;MENSALIDADE ;MENSALIDADE;190;0;RECEITA
01/01/2022;BRECHÓ;BRECHÓ;330;0;RECEITA
01/01/2022;DOAÇÃO;DOAÇÃO;179,38;0;RECEITA
01/01/2022;IPTU SAQUAREMA;CONTAS;0;179,38;DESPESA
01/01/2022;PG FERREIRO/ MANUTENÇÃO TELHADO;MANUTENÇÃO;0;200;DESPESA
01/02/2022;MENSLIDADE ;MENSALIDADE;140;0;RECEITA
01/02/2022;CANTINA;CANTINA;263;0;RECEITA
01/02/2022;4X4SC COMERCIO/DEFLETOR AR ;MANUTENÇÃO;0;99;DESPESA
01/02/2022;ABEX IMPORTAÇÃO/ CONTROLE REMOTO AR ;MANUTENÇÃO;0;130;DESPESA
05/02/2022;HORTO CAFÉ;JARDINAGEM;0;65;DESPESA
08/02/2022;MOUSE;MANUTENÇÃO;0;20;DESPESA
11/02/2022;MINI MERCADO / CESTA BASICA;CESTA BÁSICA;0;368,95;DESPESA
12/02/2022;COMERCIAL FERRAGEM/BOTA FUNCIONARIO;MANUTENÇÃO;0;49,98;DESPESA
13/02/2022;AJUDA CUSTA VIVIANE (FISIOTERAPIA);ESPAÇO DE LUZ;0;100;DESPESA
18/02/2022;BRUNEL (FORMAS GEOMÁTRICAS);ESPAÇO DE LUZ;0;480;DESPESA
22/02/2022;PLAYSHOP/CANETA LASER;ESPAÇO DE LUZ;0;98,59;DESPESA
22/02/2022;SEPA;MATERIAL;0;193,2;DESPESA
22/02/2022;MAT. LIMPEZA E GUARACAMP EVANGELIZAÇÃO;MATERIAL;0;45,06;DESPESA
26/02/2022;MATRIZ DESCARTAVEIS;MATERIAL;0;29,89;DESPESA
26/02/2022;BOM (ANIVERS. E LANCHE ESTUDO CARNAVAL);ALIMENTAÇÃO;0;381,3;DESPESA
01/03/2022;MENSALIDADE;MENSALIDADE;110;0;RECEITA
01/03/2022;CANTINA;CANTINA;641,4;0;RECEITA
01/03/2022;BRCHÓ;BRECHÓ;442;0;RECEITA
05/03/2022;COMBUSTIVEL KOMBI;MANUTENÇÃO;0;100;DESPESA
14/03/2022;COLONIA MATERIAL DE CONSTRUÇÃO;MATERIAL;0;131,4;DESPESA
